ID,run,sample,donor,irradiation,time,cell,Passage,condition,Seeding date, seeded cells x 105,Irradiation date,Detachment date,total cell numbers x 106,number of tubes,cell numbers/tube,%_Purity,%_Viability,read_name,rna_input_ng,rna_quality_rin,endpcr_cycles,tape_d1000_bp,tape_d1000_conc_ngul,pf_reads_run_total,paired_end,pf_reads_sample_percent,pf_reads_sample,cell_passage,seed_date,harvest_date,rna_extract_date,entity
D1,EKB_20240924,DSC_27_23_control_6h,27_23,control,6h,DSC,,DSC_control_6h,,,,,,,,,,D1_S5_R1_001.fastq.gz,177,2.8,17,286,2.69,511748149,1,1206,6.20E+06,,,,,mRNA
D2,EKB_20240924,DSC_27_23_1x_UVB300_6h,27_23,1x_UVB300,6h,DSC,,DSC_1x_UVB300_6h,,,,,,,,,,D2_S6_R1_001.fastq.gz,235,2.7,17,295,2.38,511748149,1,741,3.80E+06,,,,,mRNA
D3,EKB_20240924,DSC_27_23_3x_UVB300_6h,27_23,3x_UVB300,6h,DSC,,DSC_3x_UVB300_6h,,,,,,,,,,D3_S24_R1_001.fastq.gz,91,4.3,18,274,4.73,511748149,1,1365,7.00E+06,,,,,mRNA
D4,EKB_20240924,DSC_28_23_control_6h,28_23,control,6h,DSC,,DSC_control_6h,,,,,,,,,,D4_S25_R1_001.fastq.gz,295,nd,18,300,7.28,511748149,1,1.3,6.70E+06,,,,,mRNA
D5,EKB_20240924,DSC_28_23_1x_UVB300_6h,28_23,1x_UVB300,6h,DSC,,DSC_1x_UVB300_6h,,,,,,,,,,D5_S26_R1_001.fastq.gz,310,nd,18,311,13.6,511748149,1,1519,7.80E+06,,,,,mRNA
D6,EKB_20240924,DSC_28_23_3x_UVB300_6h,28_23,3x_UVB300,6h,DSC,,DSC_3x_UVB300_6h,,,,,,,,,,D6_S27_R1_001.fastq.gz,82,nd,18,306,6,511748149,1,1117,5.70E+06,,,,,mRNA
D7,EKB_20240924,DSC_29_23_control_6h,29_23,control,6h,DSC,,DSC_control_6h,,,,,,,,,,D7_S7_R1_001.fastq.gz,511,nd,17,302,2.45,511748149,1,867,4.40E+06,,,,,mRNA
D8,EKB_20240924,DSC_29_23_1x_UVB300_6h,29_23,1x_UVB300,6h,DSC,,DSC_1x_UVB300_6h,,,,,,,,,,D8_S8_R1_001.fastq.gz,500,nd,17,297,4.31,511748149,1,972,5.00E+06,,,,,mRNA
D9,EKB_20240924,DSC_29_23_3x_UVB300_6h,29_23,3x_UVB300,6h,DSC,,DSC_3x_UVB300_6h,,,,,,,,,,D9_S28_R1_001.fastq.gz,129,nd,18,307,6.24,511748149,1,1291,6.60E+06,,,,,mRNA
D10,EKB_20240924,DSC_30_23_control_6h,30_23,control,6h,DSC,,DSC_control_6h,,,,,,,,,,D10_S29_R1_001.fastq.gz,78,nd,18,292,3.76,511748149,1,1701,8.70E+06,,,,,mRNA
D11,EKB_20240924,DSC_30_23_1x_UVB300_6h,30_23,1x_UVB300,6h,DSC,,DSC_1x_UVB300_6h,,,,,,,,,,D11_S30_R1_001.fastq.gz,38,nd,20,248,2.25,511748149,1,1328,6.80E+06,,,,,mRNA
D12,EKB_20240924,DSC_30_23_3x_UVB300_6h,30_23,3x_UVB300,6h,DSC,,DSC_3x_UVB300_6h,,,,,,,,,,D12_S31_R1_001.fastq.gz,20,0,20,281,2.78,511748149,1,989,5.10E+06,,,,,mRNA
D13,EKB_20240924,DSC_31_23_control_6h,31_23,control,6h,DSC,,DSC_control_6h,,,,,,,,,,D13_S32_R1_001.fastq.gz,290,nd,18,300,10.9,511748149,1,1751,9.00E+06,,,,,mRNA
D14,EKB_20240924,DSC_31_23_1x_UVB300_6h,31_23,1x_UVB300,6h,DSC,,DSC_1x_UVB300_6h,,,,,,,,,,D14_S33_R1_001.fastq.gz,355,nd,18,297,6.28,511748149,1,1.17,6.00E+06,,,,,mRNA
D15,EKB_20240924,DSC_31_23_3x_UVB300_6h,31_23,3x_UVB300,6h,DSC,,DSC_3x_UVB300_6h,,,,,,,,,,D15_S34_R1_001.fastq.gz,170,nd,18,310,13.3,511748149,1,1696,8.70E+06,,,,,mRNA
D16,EKB_20240924,DSC_27_23_control_24h,27_23,control,24h,DSC,,DSC_control_24h,,,,,,,,,,D16_S56_R1_001.fastq.gz,231,nd,19,289,12.8,511748149,1,1161,5.90E+06,,,,,mRNA
D17,EKB_20240924,DSC_27_23_1x_UVB300_24h,27_23,1x_UVB300,24h,DSC,,DSC_1x_UVB300_24h,,,,,,,,,,D17_S57_R1_001.fastq.gz,271,nd,19,317,6.89,511748149,1,1295,6.60E+06,,,,,mRNA
D18,EKB_20240924,DSC_27_23_3x_UVB300_24h,27_23,3x_UVB300,24h,DSC,,DSC_3x_UVB300_24h,,,,,,,,,,D18_S58_R1_001.fastq.gz,104,nd,19,310,5.99,511748149,1,1278,6.50E+06,,,,,mRNA
D19,EKB_20240924,DSC_28_23_control_24h,28_23,control,24h,DSC,,DSC_control_24h,,,,,,,,,,D19_S59_R1_001.fastq.gz,340,nd,19,319,9.21,511748149,1,1605,8.20E+06,,,,,mRNA
